#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD93CE
#Date Time: 2024-11-29 11:47:13.530
#Sample rate: 50000Hz
#Samples: 74139
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.2,0.871216616287819
-0.1999799999999999,0.769121193175728
-0.1999599999999999,0.768784244584599
-0.19994,0.769121193175728
-0.19992,0.769121193175728
-0.1999,0.769121193175728
-0.1998799999999999,0.769121193175728
-0.1998599999999999,0.769121193175728
-0.1998399999999999,0.769121193175728
-0.19982,0.769121193175728
-0.1998,0.769121193175728
-0.19978,0.769121193175728
-0.1997599999999999,0.769121193175728
-0.1997399999999999,0.769121193175728
-0.19972,0.769121193175728
-0.1997,0.769121193175728
-0.19968,0.769121193175728
-0.1996599999999999,0.769121193175728
-0.1996399999999999,0.7694581417668571
-0.1996199999999999,0.769121193175728
-0.1996,0.769121193175728
-0.19958,0.769121193175728
-0.19956,0.769121193175728
-0.1995399999999999,0.769121193175728
-0.1995199999999999,0.769121193175728
-0.1995,0.769121193175728
-0.19948,0.769121193175728
-0.19946,0.769121193175728
-0.19944,0.769121193175728
-0.1994199999999999,0.769121193175728
-0.1993999999999999,0.769121193175728
-0.19938,0.769121193175728
-0.19936,0.769121193175728
-0.19934,0.769121193175728
-0.1993199999999999,0.769121193175728
-0.1992999999999999,0.769121193175728
-0.1992799999999999,0.769121193175728
-0.19926,0.768784244584599
-0.19924,0.768784244584599
-0.19922,0.769121193175728
-0.1991999999999999,0.768784244584599
-0.1991799999999999,0.769121193175728
-0.19916,0.769121193175728
-0.19914,0.769121193175728
-0.19912,0.769121193175728
-0.1990999999999999,0.769121193175728
-0.1990799999999999,0.769121193175728
-0.1990599999999999,0.769121193175728
-0.19904,0.769121193175728
-0.19902,0.769121193175728
-0.199,0.769121193175728
-0.1989799999999999,0.769121193175728
-0.1989599999999999,0.769121193175728
-0.19894,0.768784244584599
-0.19892,0.769121193175728
-0.1989,0.768784244584599
-0.1988799999999999,0.769121193175728
-0.1988599999999999,0.769121193175728
-0.1988399999999999,0.769121193175728
-0.19882,0.768784244584599
-0.1988,0.769121193175728
-0.19878,0.769121193175728
-0.1987599999999999,0.769121193175728
-0.1987399999999999,0.769121193175728
-0.19872,0.769121193175728
-0.1987,0.769121193175728
-0.19868,0.769121193175728
-0.1986599999999999,0.769121193175728
-0.1986399999999999,0.769121193175728
-0.1986199999999999,0.768784244584599
-0.1986,0.769121193175728
-0.19858,0.7694581417668571
-0.19856,0.769121193175728
-0.1985399999999999,0.769121193175728
-0.1985199999999999,0.769121193175728
-0.1985,0.769121193175728
-0.19848,0.769121193175728
-0.19846,0.769121193175728
-0.1984399999999999,0.769121193175728
-0.1984199999999999,0.769121193175728
-0.1983999999999999,0.769121193175728
-0.19838,0.769121193175728
-0.19836,0.769121193175728
-0.19834,0.768784244584599
-0.1983199999999999,0.769121193175728
-0.1982999999999999,0.769121193175728
-0.1982799999999999,0.769121193175728
-0.19826,0.769121193175728
-0.19824,0.769121193175728
-0.19822,0.769121193175728
-0.1981999999999999,0.769121193175728
-0.1981799999999999,0.768784244584599
-0.19816,0.769121193175728
-0.19814,0.768784244584599
-0.19812,0.769121193175728
-0.1980999999999999,0.769121193175728
-0.1980799999999999,0.769121193175728
-0.1980599999999999,0.769121193175728
-0.19804,0.769121193175728
-0.19802,0.769121193175728
-0.198,0.769121193175728
-0.1979799999999999,0.769121193175728
-0.1979599999999999,0.769121193175728
-0.19794,0.769121193175728
-0.19792,0.769121193175728
-0.1979,0.769121193175728
-0.1978799999999999,0.769121193175728
-0.1978599999999999,0.769121193175728
-0.1978399999999999,0.769121193175728
-0.19782,0.769121193175728
-0.1978,0.769121193175728
-0.19778,0.769121193175728
-0.1977599999999999,0.769121193175728
-0.1977399999999999,0.769121193175728
-0.19772,0.768784244584599
-0.1977,0.769121193175728
-0.19768,0.7694581417668571
-0.1976599999999999,0.769121193175728
-0.1976399999999999,0.768784244584599
-0.1976199999999999,0.769121193175728
-0.1976,0.769121193175728
-0.19758,0.769121193175728
-0.19756,0.7694581417668571
-0.1975399999999999,0.769121193175728
-0.1975199999999999,0.769121193175728
-0.1975,0.769121193175728
-0.19748,0.769121193175728
-0.19746,0.769121193175728
-0.1974399999999999,0.769121193175728
-0.1974199999999999,0.768784244584599
-0.1973999999999999,0.769121193175728
-0.19738,0.769121193175728
-0.19736,0.769121193175728
-0.19734,0.769121193175728
-0.1973199999999999,0.769121193175728
-0.1972999999999999,0.769121193175728
-0.19728,0.769121193175728
-0.19726,0.769121193175728
-0.19724,0.769121193175728
-0.19722,0.769121193175728
-0.1971999999999999,0.769121193175728
-0.1971799999999999,0.769121193175728
-0.19716,0.769121193175728
-0.19714,0.769121193175728
-0.19712,0.769121193175728
-0.1970999999999999,0.769121193175728
-0.1970799999999999,0.7694581417668571
-0.1970599999999999,0.769121193175728
-0.19704,0.769121193175728
-0.19702,0.769121193175728
-0.197,0.769121193175728
-0.1969799999999999,0.769121193175728
-0.1969599999999999,0.769121193175728
-0.19694,0.769121193175728
-0.19692,0.769121193175728
-0.1969,0.769121193175728
-0.1968799999999999,0.769121193175728
-0.1968599999999999,0.769121193175728
-0.1968399999999999,0.769121193175728
-0.19682,0.769121193175728
